original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
JULIE	GAY	JULIE	GAY	ISGC	J	GAY J
THIERRY	LANGER	THIERRY	LANGER	ISGC	T	LANGER T
YVES	GALANTE	YVES	GALANTE	ISGC	Y	GALANTE Y
SITI FATAHIYAH	MOHAMAD	SITI FATAHIYAH	MOHAMAD	ISGC	SF	MOHAMAD SF
XAVIER	COQUERET	XAVIER	COQUERET	ISGC	X	COQUERET X
VERONIQUE	AGUIE	VERONIQUE	AGUIE BEGHIN	ISGC	V	AGUIE V
SITI	MOHAMAD	SITI FATAHIYAH	MOHAMAD	ISGC	S	MOHAMAD S
MICHAEL	MOLINARI	MICHAEL	MOLINARI	ISGC	M	MOLINARI M
CHIARA	SAMORI	CHIARA	SAMORI	ISGC	C	SAMORI C
PAOLA	GALLETTI	PAOLA	GALLETTI	ISGC	P	GALLETTI P
EMILIO	TAGLIAVINI	EMILIO	TAGLIAVINI	ISGC	E	TAGLIAVINI E
ANKUR	TIWARI	ANKUR	TIWARI	ISGC	A	TIWARI A
BISWAJIT	CHOWDHURY	BISWAJIT	CHOWDHURY	ISGC	B	CHOWDHURY B
ADRIANA	FREITES	ADRIANA	FREITES AGUILERA	ISGC	A	FREITES A
