original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
TOM D	SHEPPARD	TOM D	SHEPPARD	ISGC	TD	SHEPPARD TD
DAVID J	LEAK	DAVID J	LEAK	ISGC	DJ	LEAK DJ
CLEO	KONTORAVDI	CLEO	KONTORAVDI	ISGC	C	KONTORAVDI C
NILAY	SHAH	NILAY	SHAH	ISGC	N	SHAH N
ANTONINO	FAMULARI	ANTONINO	FAMULARI	ISGC	A	FAMULARI A
GUIDO	RAOS	GUIDO	RAOS	ISGC	G	RAOS G
STEFANO VALDO	MEILLE	STEFANO VALDO	MEILLE	ISGC	SV	MEILLE SV
GIOVANNI BATTISTA	APPETECCHI	GIOVANNI BATTISTA	APPETECCHI	ISGC	GB	APPETECCHI GB
STEFANO	PASSERINI	STEFANO	PASSERINI	ISGC	S	PASSERINI S
JEAN JACQUE	WALTER	JEAN JACQUES	WALTER	ISGC	JJ	WALTER JJ
KAI	SZETO	KAI	SZETO	ISGC	K	SZETO K
PHILIPPE	ARQUILLIERE	PHILIPPE	ARQUILLIERE	ISGC	P	ARQUILLIERE P
ALDA LISA	CONCIA	ALDA LISA	CONCIA	ISGC	AL	CONCIA AL
JALILA	SIMAAN	JALILA	SIMAAN	ISGC	J	SIMAAN J
MARIUS	REGLIER	MARIUS	REGLIER	ISGC	M	REGLIER M
SOŇA	GARAJOVA	SONA	GARAJOVA	ISGC	S	GARAJOVA S
BRUNO	GUGLIARELLI	BRUNO	GUIGLIARELLI	ISGC	B	GUGLIARELLI B
MARIA ROSA	BECCIA	MARIA ROSA	BECCIA	ISGC	MR	BECCIA MR
FRÉDÉRIC	BIASO	FREDERIC	BIASO	ISGC	F	BIASO F
HELEN	HAILES	HELEN C	HAILES	ISGC	H	HAILES H
TOM	SHEPPARD	TOM D	SHEPPARD	ISGC	T	SHEPPARD T
PAUL	DALBY	PAUL	DALBY	ISGC	P	DALBY P
JOHN	WARD	JOHN	WARD	ISGC	J	WARD J
GARY	LYE	GARY J	LYE	ISGC	G	LYE G
AKSHAY	PATEL	AKSHAY	PATEL	ISGC	A	PATEL A
MARIA	VILLEGAS-TORRES	MARIA	VILLEGAS TORRES	ISGC	M	VILLEGAS-TORRES M
JOSÉ	ASSAF	JOSE MANSUR	ASSAF	ISGC	J	ASSAF J
AMANDA S	DAMASCENO	AMANDA S	DAMASCENO	ISGC	AS	DAMASCENO AS
CÍNTHIA S	CASTRO	CINTHIA S	CASTRO	ISGC	CS	CASTRO CS
JOSÉ M	ASSAF	JOSE MANSUR	ASSAF	ISGC	JM	ASSAF JM
MICHAEL	DIERKS	MICHAEL	DIERKS	ISGC	M	DIERKS M
MARCELO	RECHULSKI	MARCELO DAVID	KAUFMAN RECHULSKI	ISGC	M	RECHULSKI M
ELISABETE M	ASSAF	ELISABETE M	ASSAF	ISGC	EM	ASSAF EM
FRANCISCO G E	NOGUEIRA	FRANCISCO GUILHERME ESTEVES	NOGUEIRA	ISGC	FGE	NOGUEIRA FGE
HUDSON W P	CARVALHO	HUDSON W P	CARVALHO	ISGC	HWP	CARVALHO HWP
KONSTANTINOS	TRIANTAFYLLIDIS	KONSTANTINOS	TRIANTAFYLLIDIS	ISGC	K	TRIANTAFYLLIDIS K
POLYKARPOS	LAZARIDIS	POLYKARPOS	LAZARIDIS	ISGC	P	LAZARIDIS P
THOMAS	PINNAVAIA	THOMAS	PINNAVAIA	ISGC	T	PINNAVAIA T
MIRA	DAOUD ATTIEH	MIRA	DAOUD ATTIEH	ISGC	M	DAOUD ATTIEH M
AUDE	FALCIMAIGNE-CORDIN	AUDE	FALCIMAIGNE CORDIN	ISGC	A	FALCIMAIGNE-CORDIN A
KARSTEN	HAUPT	KARSTEN	HAUPT	ISGC	K	HAUPT K
S V	LUIS	SANTIAGO V	LUIS	ISGC	SV	LUIS SV
VIRGINIE	BELLIÈRE-BACA	VIRGINIE	BELLIERE BACA	ISGC	V	BELLIERE-BACA V
PATRICK	REY	PATRICK	REY	ISGC	P	REY P
SARAVANAMURUGAN	SHUNMUGAVEL	SARAVANAMURUGAN	SHUNMUGAVEL	ISGC	S	SHUNMUGAVEL S
DEBORA MORAIS	BEZERRA	DEBORA MORAIS	BEZERRA	ISGC	DM	BEZERRA DM
ALESSANDRA F	LUCREDIO	ALESSANDRA F	LUCREDIO	ISGC	AF	LUCREDIO AF
LÉO-PAUL	VAURS	LEO PAUL	VAURS	ISGC	L	VAURS L
SONIA	HEAVEN	SONIA	HEAVEN	ISGC	S	HEAVEN S
CHARLES	BANKS	CHARLES	BANKS	ISGC	C	BANKS C
CLOTILDE	GAILLARD	CLOTILDE	GAILLARD	ISGC	C	GAILLARD C
MARIA	BOLTOEVA	MARIA	BOLTOEVA	ISGC	M	BOLTOEVA M
SYLVIA	GEORG	SYLVIA	GEORG	ISGC	S	GEORG S
VALÉRIE	MAZAN	VALERIE	MAZAN	ISGC	V	MAZAN V
DARIIA	TERNOVA	DARIIA	TERNOVA	ISGC	D	TERNOVA D
ALEXANDER	TURANOV	ALEXANDER	TURANOV	ISGC	A	TURANOV A
ALEXANDRA	MANSUR	ALEXANDRA	MANSUR	ISGC	A	MANSUR A
ZELIA	LOBATO	ZELIA	LOBATO	ISGC	Z	LOBATO Z
ROMAN	MATTHESSEN	ROMAN	MATTHESSEN	ISGC	R	MATTHESSEN R
INE	ROMBOUTS	INE	ROMBOUTS	ISGC	I	ROMBOUTS I
IVO	STASSEN	IVO	STASSEN	ISGC	I	STASSEN I
TREES	DE BAERDEMAEKER	TREES	DE BAERDEMAEKER	ISGC	T	DE BAERDEMAEKER T
DIEDERIK	DEPLA	DIEDERIK	DEPLA	ISGC	D	DEPLA D
JAN	DELCOUR	JAN	DELCOUR	ISGC	J	DELCOUR J
JULIANA ARRIEL	TORRES	JULIANA ARRIEL	TORRES	ISGC	JA	TORRES JA
PRICILA MARIA BATISTA	CHAGAS	PRICILA MARIA BATISTA	CHAGAS	ISGC	PMB	CHAGAS PMB
FRANCISCO GUILHERME ESTEVES	NOGUEIRA	FRANCISCO GUILHERME ESTEVES	NOGUEIRA	ISGC	FGE	NOGUEIRA FGE
MARIA CRISTINA	SILVA	MARIA CRISTINA	SILVA	ISGC	MC	SILVA MC
ANGELITA DUARTE	CORRÊA	ANGELITA DUARTE	CORREA	ISGC	AD	CORREA AD
TATIANA FREITAS	SILVA	TATIANA FREITAS	SILVA	ISGC	TF	SILVA TF
THAISA	MATOS	THAISA	MATOS	ISGC	T	MATOS T
JOSÉ MANSUR	ASSAF	JOSE MANSUR	ASSAF	ISGC	JM	ASSAF JM
RYSZARD	GRABOWSKI	RYSZARD	GRABOWSKI	ISGC	R	GRABOWSKI R
JOANNA	KRYSCIAK-CZERWENKA	JOANNA	KRYSCIAK CZERWENKA	ISGC	J	KRYSCIAK-CZERWENKA J
RAFAEL	MANSUR	RAFAEL	MANSUR	ISGC	R	MANSUR R
FABIO	RAMANERY	FABIO	RAMANERY	ISGC	F	RAMANERY F
IVAN ALBERTO	SANDOVAL SALAZAR	IVAN ALBERTO	SANDOVAL SALAZAR	ISGC	IA	SANDOVAL SALAZAR IA
DARLIS ADRIANA	VARON CARDENAS	DARLIS ADRIANA	VARON CARDENAS	ISGC	DA	VARON CARDENAS DA
ROSA CRISTINA	VITORINO DE PAULA	ROSA CRISTINA	VITORINO DE PAULA	ISGC	RC	VITORINO DE PAULA RC
YORDANKA	REYES CRUZ	YORDANKA	REYES CRUZ	ISGC	Y	REYES CRUZ Y
DONATO ALEXANDRE	GOMES ARANDA	DONATO ALEXANDRE	GOMES ARANDA	ISGC	DA	GOMES ARANDA DA
GISEL	DIAZ	GISEL	DIAS	ISGC	G	DIAZ G
MARIE	GUILLOT	MARIE	GUILLOT	ISGC	M	GUILLOT M
JEAN-MICHEL	COMMANDRÉ	JEAN MICHEL	COMMANDRE	ISGC	J	COMMANDRE J
STÉPHANE	PELLET-ROSTAING	STEPHANE	PELLET ROSTAING	ISGC	S	PELLET-ROSTAING S
FRÉDÉRIC	GOETTMANN	FREDERIC	GOETTMANN	ISGC	F	GOETTMANN F
MERCEDES	MORENO-RECIO	MERCEDES	MORENO RECIO	ISGC	M	MORENO-RECIO M
JOSEFA	MÉRIDA-ROBLES	JOSEFA	MERIDA ROBLES	ISGC	J	MERIDA-ROBLES J
SHEKHAR	SHARMA	SHEKHAR	SHARMA	ISGC	S	SHARMA S
FERNANDA	MEDEIROS	FERNANDA	MEDEIROS	ISGC	F	MEDEIROS F
SYLVANIA	PUTRI	SYLVANIA	PUTRI	ISGC	S	PUTRI S
ELSA	KRISANTI	ELSA	KRISANTI	ISGC	E	KRISANTI E
NASRUDDIN	NASRUDDIN	NASRUDDIN	NASRUDDIN	ISGC	N	NASRUDDIN N
AURIANE	FREYBURGER	AURIANE	FREYBURGER	ISGC	A	FREYBURGER A
YAQING	DUAN	YAQING	DUAN	ISGC	Y	DUAN Y
CORDT	ZOLLFRANK	CORDT	ZOLLFRANK	ISGC	C	ZOLLFRANK C
HAOQUAN	LI	HAOQUAN	LI	ISGC	H	LI H
JIANXIA	ZHENG	JIANXIA	ZHENG	ISGC	J	ZHENG J
DAVID	BEZIER	DAVID	BEZIER	ISGC	D	BEZIER D
THOMAS	DOMBRAY	THOMAS	DOMBRAY	ISGC	T	DOMBRAY T
LUIS C	MISAL CASTRO	LUIS C	MISAL CASTRO	ISGC	LC	MISAL CASTRO LC
BEATA	MICHALKIEWICZ	BEATA	MICHALKIEWICZ	ISGC	B	MICHALKIEWICZ B
AGNIESZKA	WRÓBLEWSKA	AGNIESZKA	WROBLEWSKA	ISGC	A	WROBLEWSKA A
JACEK	MLODZIK	JACEK	MLODZIK	ISGC	J	MLODZIK J
EDYTA	MAKUCH	EDYTA	MAKUCH	ISGC	E	MAKUCH E
HIROYUKI	MATSUDA	HIROYUKI	MATSUDA	ISGC	H	MATSUDA H
YUKI	NAKAZATO	YUKI	NAKAZATO	ISGC	Y	NAKAZATO Y
YOSHIHIRO	INOUE	YOSHIHIRO	INOUE	ISGC	Y	INOUE Y
KIYOFUMI	KURIHARA	KIYOFUMI	KURIHARA	ISGC	K	KURIHARA K
KATSUMI	TOCHIGI	KATSUMI	TOCHIGI	ISGC	K	TOCHIGI K
MAUD	CHEMIN	MAUD	CHEMIN	ISGC	M	CHEMIN M
SUMIN	LEE	SUMIN	LEE	ISGC	S	LEE S
BYEONGJO	KIM	BYEONGJO	KIM	ISGC	B	KIM B
KYUYONG	CHOI	KYUYONG	CHOI	ISGC	K	CHOI K
HYEONSHIN	LEE	HYEONSHIN	LEE	ISGC	H	LEE H
ANNA	KALLIOLA	ANNA	KALLIOLA	ISGC	A	KALLIOLA A
TAPIO	VEHMAS	TAPIO	VEHMAS	ISGC	T	VEHMAS T
TIINA	LIITIÄ	TIINA	LIITIA	ISGC	T	LIITIA T
TARJA	TAMMINEN	TARJA	TAMMINEN	ISGC	T	TAMMINEN T
YAOCIHUATL	MEDINA-GONZALEZ	YAOCIHUATL	MEDINA GONZALEZ	ISGC	Y	MEDINA-GONZALEZ Y
AHMED	JARRAY	AHMED	JARRAY	ISGC	A	JARRAY A
SEVERINE	CAMY	SEVERINE	CAMY	ISGC	S	CAMY S
JEAN-STÉPHANE	CONDORET	JEAN STEPHANE	CONDORET	ISGC	J	CONDORET J
M I	BURGUETE	MARIA ISABEL	BURGUETE	ISGC	MI	BURGUETE MI
BELEN	ALTAVA	BELEN	ALTAVA	ISGC	B	ALTAVA B
RITA	COSTA	RITA	COSTA	ISGC	R	COSTA R
MARA G FREIRE	FREIRE	MARA G	FREIRE	ISGC	MGF	FREIRE MGF
SALIHA	DAAS AMIOUR	SALIHA	DAAS AMIOUR	ISGC	S	DAAS AMIOUR S
OURIDA	ALLOUI-LOMBARKIA	OURIDA	ALLOUI LOMBARKIA	ISGC	O	ALLOUI-LOMBARKIA O
LEILA	HAMBABA	LEILA	HAMBABA	ISGC	L	HAMBABA L
KIKI A	KURNIA	KIKI A	KURNIA	ISGC	KA	KURNIA KA
SMAIN	CHEMAT	SMAIN	CHEMAT	ISGC	S	CHEMAT S
SOUHILA	KHORSI LABOUKHI	SOUHILA	KHORSI LABOUKHI	ISGC	S	KHORSI LABOUKHI S
KAMEL	DAOUD	KAMEL	DAOUD	ISGC	K	DAOUD K
URSZULA	NARKIEWICZ	URSZULA	NARKIEWICZ	ISGC	U	NARKIEWICZ U
ANTONI W	MORAWSKI	ANTONI W	MORAWSKI	ISGC	AW	MORAWSKI AW
RAFAL J	WRÓBEL	RAFAL J	WROBEL	ISGC	RJ	WROBEL RJ
SHARDA	KONDAWAR	SHARDA	KONDAWAR	ISGC	S	KONDAWAR S
REMI	CAZELLES	REMI	CAZELLES	ISGC	R	CAZELLES R
JÉRÔME	LENOTRE	JEROME	LE NOTRE	ISGC	J	LENOTRE J
KYUNG-RAN	HWANG	KYUNG RAN	HWANG	ISGC	K	HWANG K
JINSUK	LEE	JINSUK	LEE	ISGC	J	LEE J
JEONG SIK	HAN	JEONG SIK	HAN	ISGC	JS	HAN JS
IL-HO	CHOI	IL HO	CHOI	ISGC	I	CHOI I
LUCILIA SOUSA	RIBEIRO	LUCILIA SOUSA	RIBEIRO	ISGC	LS	RIBEIRO LS
MANUEL FERNANDO RIBEIRO	PEREIRA	MANUEL FERNANDO RIBEIRO	PEREIRA	ISGC	MFR	PEREIRA MFR
JOSÉ JOAQUIM DE MELO	ÓRFÃO	JOSE JOAQUIM DE MELO	ORFAO	ISGC	JJDM	ORFAO JJDM
SANDRO	GENNEN	SANDRO	GENNEN	ISGC	S	GENNEN S
BERNARD	GILBERT	BERNARD	GILBERT	ISGC	B	GILBERT B
CHRISTINE	JÉRÔME	CHRISTINE	JEROME	ISGC	C	JEROME C
DAVID	ALAIMO	DAVID	ALAIMO	ISGC	D	ALAIMO D
JULIEN	DE WINTER	JULIEN	DE WINTER	ISGC	J	DE WINTER J
PASCAL	GERBAUX	PASCAL	GERBAUX	ISGC	P	GERBAUX P
MONICA	NARDI	MONICA	NARDI	ISGC	M	NARDI M
MANUELA	OLIVERIO	MANUELA	OLIVERIO	ISGC	M	OLIVERIO M
GIOVANNI	SINDONA	GIOVANNI	SINDONA	ISGC	G	SINDONA G
ANTONIO	PROCOPIO	ANTONIO	PROCOPIO	ISGC	A	PROCOPIO A
MIKE	GEORGE	MICHAEL W	GEORGE	ISGC	M	GEORGE M
SAMUEL	MILLER	SAMUEL	MILLER	ISGC	S	MILLER S
RAPHAEL	HORVATH	RAPHAEL	HORVATH	ISGC	R	HORVATH R
EDWARD	RAYNER	EDWARD	RAYNER	ISGC	E	RAYNER E
DAVID	DUPONT	DAVID	DUPONT	ISGC	D	DUPONT D
NATIVITAD	HERRERA CANO	NATIVIDAD	HERRERA CANO	ISGC	N	HERRERA CANO N
PAOLA	COSTANZO	PAOLA	COSTANZO	ISGC	P	COSTANZO P
ANTONIO	DE NINO	ANTONIO	DE NINO	ISGC	A	DE NINO A
LOREDANA	MAIUOLO	LOREDANA	MAIUOLO	ISGC	L	MAIUOLO L
RÉMY	LAUNEZ	REMY	LAUNEZ	ISGC	R	LAUNEZ R
ISABELLE	BILLAULT	ISABELLE	BILLAULT	ISGC	I	BILLAULT I
MARIE-CHRISTINE	SCHERRMANN	MARIE CHRISTINE	SCHERRMANN	ISGC	M	SCHERRMANN M
JORIS	ROOSEN	JORIS	ROOSEN	ISGC	J	ROOSEN J
STEVEN	MULLENS	STEVEN	MULLENS	ISGC	S	MULLENS S
CHANGHUI	LIU	CHANGHUI	LIU	ISGC	C	LIU C
SALIM	FERDJANI	SALIM	FERDJANI	ISGC	S	FERDJANI S
ZEINEDINE	DJEGHABA	ZEINEDDINE	DJEGHABA	ISGC	Z	DJEGHABA Z
SAULI	VUOTI	SAULI	VUOTI	ISGC	S	VUOTI S
GIOVANNI	FAVA	GIOVANNI	FAVA	ISGC	G	FAVA G
MARIA DOMENICA	DI MAURO	MARIA DOMENICA	DI MAURO	ISGC	MD	DI MAURO MD
MARCELLA	SPAMPINATO	MARCELLA	SPAMPINATO	ISGC	M	SPAMPINATO M
DANIELA	BIONDI	DANIELA	BIONDI	ISGC	D	BIONDI D
GIOVANNI	CENTONZE	GIOVANNI	CENTONZE	ISGC	G	CENTONZE G
RICCARDO	MAGGIORE	RICCARDO	MAGGIORE	ISGC	R	MAGGIORE R
NICOLA	D'ANTONA	NICOLA	DANTONA	ISGC	N	D'ANTONA N
MARIA GRAZIA	SAITA	MARIA GRAZIA	SAITA	ISGC	MG	SAITA MG
BARBARA	MELILLI	BARBARA	MELILLI	ISGC	B	MELILLI B
MARIO	ANDRONICO	MARIO	ANDRONICO	ISGC	M	ANDRONICO M
DANILO	ALEO	DANILO	ALEO	ISGC	D	ALEO D
RAFFAELE	MORRONE	RAFFAELE	MORRONE	ISGC	R	MORRONE R
SONIA	PEDOTTI	SONIA	PEDOTTI	ISGC	S	PEDOTTI S
FATIHA	DERGAL	FATIHA	DERGAL	ISGC	F	DERGAL F
ILHAM	MOKBEL	ILHAM	MOKBEL	ISGC	I	MOKBEL I
JACQUES	JOSE	JACQUES	JOSE	ISGC	J	JOSE J
MARIYA	PETROVA	MARIYA	PETROVA	ISGC	M	PETROVA M
DOAA	OSMAN	DOAA	OSMAN	ISGC	D	OSMAN D
ASHRAF	ASHMAWY	ASHRAF	ASHMAWY	ISGC	A	ASHMAWY A
MAHER	NESSIM	MAHER	NESSIM	ISGC	M	NESSIM M
ALI	EL BASSOUSSI	ALI	EL BASSOUSSI	ISGC	A	EL BASSOUSSI A
SELAIMIA-FERDJANI	OUASSILA	SELAIMIA FERDJANI	OUASSILA	ISGC	S	OUASSILA S
KENJI	TAKAHASHI	KENJI	TAKAHASHI	ISGC	K	TAKAHASHI K
RYOHEI	KAKUCHI	RYOHEI	KAKUCHI	ISGC	R	KAKUCHI R
YOSHIKI	SHIBATA	YOSHIKI	SHIBATA	ISGC	Y	SHIBATA Y
MAKOTO	YAMAGUCHI	MAKOTO	YAMAGUCHI	ISGC	M	YAMAGUCHI M
KAZUAKI	NINOMIYA	KAZUAKI	NINOMIYA	ISGC	K	NINOMIYA K
CAMILA CRISTANE	CORDEIRO	CAMILA CRISTANE	CORDEIRO	ISGC	CC	CORDEIRO CC
RAQUEL JULIANA	ROMO BUCHELLY	RAQUEL JULIANA	ROMO BUCHELLY	ISGC	RJ	ROMO BUCHELLY RJ
IMENE	SEHOUT	IMENE	SEHOUT	ISGC	I	SEHOUT I
ABDELMADJID	DEBACHE	ABDELMADJID	DEBACHE	ISGC	A	DEBACHE A
JOSÉ ANTONIO	MAYORAL	JOSE ANTONIO	MAYORAL	ISGC	JA	MAYORAL JA
MARIANA	SILVA	MARIANA	SILVA	ISGC	M	SILVA M
ROSA	DE PAULA	ROSA CRISTINA	VITORINO DE PAULA	ISGC	R	DE PAULA R
IVAN	SALAZAR	IVAN ALBERTO	SANDOVAL SALAZAR	ISGC	I	SALAZAR I
YORDANKA	CRUZ	YORDANKA	REYES CRUZ	ISGC	Y	CRUZ Y
CRISTIANE	DA SILVA	CRISTIANE	DA SILVA	ISGC	C	DA SILVA C
GISEL	DIAS	GISEL	DIAS	ISGC	G	DIAS G
JUSTYNA	MAJEWSKA	JUSTYNA	MAJEWSKA	ISGC	J	MAJEWSKA J
JUNG HOON	PARK	JUNG HOON	PARK	ISGC	JH	PARK JH
HONG JOO	LEE	HONG JOO	LEE	ISGC	HJ	LEE HJ
LUIGI	DA VIA	LUIGI	DA VIA	ISGC	L	DA VIA L
THOMAS EDWARD	DAVIES	THOMAS EDWARD	DAVIES	ISGC	TE	DAVIES TE
CARLO	RECCHI	CARLO	RECCHI	ISGC	C	RECCHI C
DONG WON	HWANG	DONG WON	HWANG	ISGC	DW	HWANG DW
MARIUS	PRASPALIAUSKAS	MARIUS	PRASPALIAUSKAS	ISGC	M	PRASPALIAUSKAS M
NERIJUS	PEDISIUS	NERIJUS	PEDISIUS	ISGC	N	PEDISIUS N
NAZZOLY	RUEDA	NAZZOLY	RUEDA	ISGC	N	RUEDA N
RODRIGO	TORRES	RODRIGO	TORRES	ISGC	R	TORRES R
CLAUDIA	ORTIZ	CLAUDIA	ORTIZ	ISGC	C	ORTIZ C
OVEIMAR	BARBOSA	OVEIMAR	BARBOSA	ISGC	O	BARBOSA O
ROBERTO	FERNANDEZ-LAFUENTE	ROBERTO	FERNANDEZ LAFUENTE	ISGC	R	FERNANDEZ-LAFUENTE R
LUCIANA R B	GONÇALVES	LUCIANA R B	GONCALVES	ISGC	LRB	GONCALVES LRB
JUSTO	PEDROCHE	JUSTO	PEDROCHE	ISGC	J	PEDROCHE J
MARIA	DEL MAR YUST	MARIA	DEL MAR YUST	ISGC	M	DEL MAR YUST M
MARIA	DEL CARMEN MILLÁN-LINARES	MARIA	DEL CARMEN MILLAN LINARES	ISGC	M	DEL CARMEN MILLAN-LINARES M
RAFAEL C	RODRIGUES	RAFAEL C	RODRIGUES	ISGC	RC	RODRIGUES RC
ALBERTO	SANCHEZ	ALBERTO	SANCHEZ	ISGC	A	SANCHEZ A
REYNALDO	VILLALONGA	REYNALDO	VILLALONGA	ISGC	R	VILLALONGA R
CHEN	ZHE-NING	CHEN	ZHE NING	ISGC	C	ZHE-NING C
HAO	HU	HAO	HU	ISGC	H	HU H
CHAN	KWONG-YU	CHAN	KWONG YU	ISGC	C	KWONG-YU C
LIANGXU	XIE	LIANGXU	XIE	ISGC	L	XIE L
YOUNG SUG	KIM	YOUNG SUG	KIM	ISGC	YS	KIM YS
SUN MIN	KIM	SUN MIN	KIM	ISGC	SM	KIM SM
CATHERINE	BONNAFOUS	CATHERINE	BONNAFOUS	ISGC	C	BONNAFOUS C
GUADALUPE	VACA MEDINA	GUADALUPE	VACA MEDINA	ISGC	G	VACA MEDINA G
LAURE	CANDY	LAURE	CANDY	ISGC	L	CANDY L
GÉRARD	VILAREM	GERARD	VILAREM	ISGC	G	VILAREM G
TIM	DEN HARTOG	TIM	DEN HARTOG	ISGC	T	DEN HARTOG T
JÜRGEN	KLANKERMAYER	JURGEN	KLANKERMAYER	ISGC	J	KLANKERMAYER J
THORSTEN	VOM STEIN	THORSTEN	VOM STEIN	ISGC	T	VOM STEIN T
SPAS	STOYCHEV	SPAS	STOYCHEV	ISGC	S	STOYCHEV S
KASSEM	BEYDOUN	KASSEM	BEYDOUN	ISGC	K	BEYDOUN K
KATHARINA	THENERT	KATHARINA	THENERT	ISGC	K	THENERT K
GHAZI	GHATTAS	GHAZI	GHATTAS	ISGC	G	GHATTAS G
RICARDO	SANTOS	RICARDO	SANTOS	ISGC	R	SANTOS R
BRUNO	GODINHO	BRUNO	GODINHO	ISGC	B	GODINHO B
NUNO	GAMA	NUNO	GAMA	ISGC	N	GAMA N
RUI	SILVA	RUI	SILVA	ISGC	R	SILVA R
ARTUR	FERREIRA	ARTUR	FERREIRA	ISGC	A	FERREIRA A
OLIVIA	CONDASSAMY	OLIVIA	CONDASSAMY	ISGC	O	CONDASSAMY O
CÉDRIC	FISHMEISTER	CEDRIC	FISCHMEISTER	ISGC	C	FISHMEISTER C
SHILIN	HUANG	SHILIN	HUANG	ISGC	S	HUANG S
HALLOUMA	BILEL	HALLOUMA	BILEL	ISGC	H	BILEL H
NACEUR	HAMDI	NACEUR	HAMDI	ISGC	N	HAMDI N
FETHI	ZAGROUBA	FETHI	ZAGROUBA	ISGC	F	ZAGROUBA F
MARCELA P F	RIBEIRO	MARCELA F P	RIBEIRO	ISGC	MPF	RIBEIRO MPF
JOSÉ CLEITON S	DOS SANTOS	JOSE CLEITON S	DOS SANTOS	ISGC	JCS	DOS SANTOS JCS
ALESSANDRO B C	SIMAS	ALESSANDRO B C	SIMAS	ISGC	ABC	SIMAS ABC
MARIA ALICE Z	COELHO	MARIA ALICE	ZARUR COELHO	ISGC	MAZ	COELHO MAZ
ANGELO A T	DA SILVA	ANGELO A T	DA SILVA	ISGC	AAT	DA SILVA AAT
JULIA M	ROBERT	JULIA M	ROBERT	ISGC	JM	ROBERT JM
ANTONIO C O	MACHADO	ANTONIO C O	MACHADO	ISGC	ACO	MACHADO ACO
ALINE M	CASTRO	ALINE M	CASTRO	ISGC	AM	CASTRO AM
ALICE	COGNIGNI	ALICE	COGNIGNI	ISGC	A	COGNIGNI A
KATHARINA	BICA	KATHARINA	BICA	ISGC	K	BICA K
PETER	GÄRTNER	PETER	GARTNER	ISGC	P	GARTNER P
RONALD	ZIRBS	RONALD	ZIRBS	ISGC	R	ZIRBS R
CHRISTIAN	SCHRÖDER	CHRISTIAN	SCHRODER	ISGC	C	SCHRODER C
HERWIG	PETERLIK	HERWIG	PETERLIK	ISGC	H	PETERLIK H
NOURA	TOUAHRI	NOURA	TOUAHRI	ISGC	N	TOUAHRI N
AMEL	BENADDA	AMEL	BENADDA	ISGC	A	BENADDA A
AKILA	BARAMA	AKILA	BARAMA	ISGC	A	BARAMA A
MARCELA	FRANÇA PENNA RIBEIRO	MARCELA F P	RIBEIRO	ISGC	M	FRANCA PENNA RIBEIRO M
ALFONSO	YÉPEZ	ALFONSO	YEPEZ	ISGC	A	YEPEZ A
ANTONIO A	ROMERO	ANTONIO ANGEL	ROMERO REYES	ISGC	AA	ROMERO AA
SIHEM	DRIAI	SIHEM	DRIAI	ISGC	S	DRIAI S
C	COUTANCEAU	CHRISTOPHE	COUTANCEAU	ISGC	C	COUTANCEAU C
ANNA	ZALINEEVA	ANNA	ZALINEEVA	ISGC	A	ZALINEEVA A
STÈVE	BARANTON	STEVE	BARANTON	ISGC	S	BARANTON S
MARIO	SIMOES	MARIO	SIMOES	ISGC	M	SIMOES M
MARTINA C C	PINTO	MARTINA C C	PINTO	ISGC	MCC	PINTO MCC
JOSE CLEITON S	DOS SANTOS	JOSE CLEITON S	DOS SANTOS	ISGC	JCS	DOS SANTOS JCS
JOSÉ CARLOS	PINTO	JOSE CARLOS	PINTO	ISGC	JC	PINTO JC
SERGIO	SOPEÑA DE FRUTOS	SERGIO	SOPENA DE FRUTOS	ISGC	S	SOPENA DE FRUTOS S
CARMEN	MARTÍN	CARMEN	MARTIN	ISGC	C	MARTIN C
NACERA	LAHOUEL BENABBES	NACERA	LAHOUEL BENABBES	ISGC	N	LAHOUEL BENABBES N
OMAR	KHEROUA	OMAR	KHEROUA	ISGC	O	KHEROUA O
IBRAHIM ELKHALIL	HAJ MESAOUD	IBRAHIM ELKHALIL	HAJ MESAOUD	ISGC	IE	HAJ MESAOUD IE
SARA	LAHOUEL	SARA	LAHOUEL	ISGC	S	LAHOUEL S
ABDULLAH	AL-MAJID	ABDULLAH	AL MAJID	ISGC	A	AL-MAJID A
ASSEM M	BARAKAT	ASSEM M	BARAKAT	ISGC	AM	BARAKAT AM
HANY J	AL-NAJAR	HANY J	AL NAJJAR	ISGC	HJ	AL-NAJAR HJ
SYED F	ADIL	SYED F	ADIL	ISGC	SF	ADIL SF
VIJAY H	MASAND	VIJAY H	MASAND	ISGC	VH	MASAND VH
HAZEM A	GHABBOUR	HAZEM A	GHABBOUR	ISGC	HA	GHABBOUR HA
HOONG-KUN	FUN	HOONG KUN	FUN	ISGC	H	FUN H
JEONG-HOON	KIM	JEONG HOON	KIM	ISGC	J	KIM J
SANG-HOON	HAN	SANG HOON	HAN	ISGC	S	HAN S
CHAE-YOUNG	PARK	CHAE YOUNG	PARK	ISGC	C	PARK C
SYLWIA	WASKIEWICZ	SYLWIA	WASKIEWICZ	ISGC	S	WASKIEWICZ S
EWELINA	DYBALSKA	EWELINA	DYBALSKA	ISGC	E	DYBALSKA E
MALGORZATA	BUREK	MALGORZATA	BUREK	ISGC	M	BUREK M
HENNING	KUHZ	HENNING	KUHZ	ISGC	H	KUHZ H
