name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
MARGOT, ALVES	MARGOT	ALVES	MARGOT	ALVES	ISGC	M	ALVES M
MARIA JOSÉ, ALVES	MARIA JOSÉ	ALVES	MARIA JOSE	ALVES	ISGC	MJ	ALVES MJ
MARIA JOSE, ALVES	MARIA JOSE	ALVES	MARIA JOSE	ALVES	ISGC	MJ	ALVES MJ
DARIO, ALVIRA	DARIO	ALVIRA	DARIO	ALVIRA	ISGC	D	ALVIRA D
YASUSHI, AMADA	YASUSHI	AMADA	YASUSHI	AMADA	ISGC	Y	AMADA Y
ROSSELLA, AMADORI	ROSSELLA	AMADORI	ROSSELLA	AMADORI	ISGC	R	AMADORI R
PRINCE, AMANIAMPONG	PRINCE	AMANIAMPONG	PRINCE	AMANIAMPONG	ISGC	P	AMANIAMPONG P
ZACHARIAS, AMARA	ZACHARIAS	AMARA	ZACHARIAS	AMARA	ISGC	Z	AMARA Z
LIA, AMARAL	LIA	AMARAL	LIA	AMARAL	ISGC	L	AMARAL L
VERONICA, AMBROGI	VERONICA	AMBROGI	VERONICA	AMBROGI	ISGC	V	AMBROGI V
SONIA, AMIGONI	SONIA	AMIGONI	SONIA	AMIGONI	ISGC	S	AMIGONI S
HAMIDEH, AMIRFIROUZKOUHI	HAMIDEH	AMIRFIROUZKOUHI	HAMIDEH	AMIRFIROUZKOUHI	ISGC	H	AMIRFIROUZKOUHI H
CLAUDIO, AMPELLI	CLAUDIO	AMPELLI	CLAUDIO	AMPELLI	ISGC	C	AMPELLI C
VERONIQUE, AMSTUTZ	VERONIQUE	AMSTUTZ	VERONIQUE	AMSTUTZ	ISGC	V	AMSTUTZ V
PAUL, ANASTAS	PAUL	ANASTAS	PAUL T	ANASTAS	ISGC	P	ANASTAS P
PAUL T, ANASTAS	PAUL T	ANASTAS	PAUL T	ANASTAS	ISGC	PT	ANASTAS PT
P, ANASTAS	P	ANASTAS	PAUL T	ANASTAS	ISGC	P	ANASTAS P
MARIA ANTONIETA, ANAYA CASTRO	MARIA ANTONIETA	ANAYA CASTRO	MARIA ANTONIETA	ANAYA CASTRO	ISGC	MA	ANAYA CASTRO MA
JEAN-MICHEL, ANDANSON	JEAN-MICHEL	ANDANSON	JEAN MICHEL	ANDANSON	ISGC	J	ANDANSON J
JEAN MICHEL, ANDANSON	JEAN MICHEL	ANDANSON	JEAN MICHEL	ANDANSON	ISGC	JM	ANDANSON JM
MARÍA, ANDEREZ	MARÍA	ANDEREZ	MARIA	ANDEREZ	ISGC	M	ANDEREZ M
MARIA, ANDEREZ	MARIA	ANDEREZ	MARIA	ANDEREZ	ISGC	M	ANDEREZ M
PATRICE, ANDRE	PATRICE	ANDRE	PATRICE	ANDRE	ISGC	P	ANDRE P
PAULO JOSÉ, ANDRÉ	PAULO JOSÉ	ANDRÉ	PAULO JOSE	ANDRE	ISGC	PJ	ANDRE PJ
PAULO JOSE, ANDRE	PAULO JOSE	ANDRE	PAULO JOSE	ANDRE	ISGC	PJ	ANDRE PJ
PAULO JOSÉ LOURENÇO, ANDRÉ	PAULO JOSÉ LOURENÇO	ANDRÉ	PAULO JOSE	ANDRE	other	PJL	ANDRE PJL
PAULO JOSE LOURENCO, ANDRE	PAULO JOSE LOURENCO	ANDRE	PAULO JOSE	ANDRE	other	PJL	ANDRE PJL
CHRISTIANE, ANDRÉ-BARRÈS	CHRISTIANE	ANDRÉ-BARRÈS	CHRISTIANE	ANDRE BARRES	ISGC	C	ANDRE-BARRES C
CHRISTIANE, ANDRE BARRES	CHRISTIANE	ANDRE BARRES	CHRISTIANE	ANDRE BARRES	ISGC	C	ANDRE BARRES C
SARA, ANDREOLI	SARA	ANDREOLI	SARA	ANDREOLI	ISGC	S	ANDREOLI S
SANDRINE, ANDRÈS	SANDRINE	ANDRÈS	SANDRINE	ANDRES	ISGC	S	ANDRES S
SANDRINE, ANDRES	SANDRINE	ANDRES	SANDRINE	ANDRES	ISGC	S	ANDRES S
JACQUES, ANDRIEU	JACQUES	ANDRIEU	JACQUES	ANDRIEU	ISGC	J	ANDRIEU J
BRUNO, ANDRIOLETTI	BRUNO	ANDRIOLETTI	BRUNO	ANDRIOLETTI	ISGC	B	ANDRIOLETTI B
MARIO, ANDRONICO	MARIO	ANDRONICO	MARIO	ANDRONICO	ISGC	M	ANDRONICO M
MARTINS, ANDZS	MARTINS	ANDZS	MARTINS	ANDZS	ISGC	M	ANDZS M
CARLO, ANGELICI	CARLO	ANGELICI	CARLO	ANGELICI	ISGC	C	ANGELICI C
BEATRIZ, ANGULO	BEATRIZ	ANGULO	BEATRIZ	ANGULO	ISGC	B	ANGULO B
MIKEL, AÑIBARRO-ORTEGA	MIKEL	AÑIBARRO-ORTEGA	MIKEL	ANIBARRO ORTEGA	ISGC	M	ANIBARRO-ORTEGA M
MIKEL, ANIBARRO ORTEGA	MIKEL	ANIBARRO ORTEGA	MIKEL	ANIBARRO ORTEGA	ISGC	M	ANIBARRO ORTEGA M
HAMZA, ANNATH	HAMZA	ANNATH	HAMZA	ANNATH	ISGC	H	ANNATH H
FLORENCE, ANSART	FLORENCE	ANSART	FLORENCE	ANSART	ISGC	F	ANSART F
MARKUS, ANTONIETTI	MARKUS	ANTONIETTI	MARKUS	ANTONIETTI	ISGC	M	ANTONIETTI M
SYLVAIN, ANTONIOTTI	SYLVAIN	ANTONIOTTI	SYLVAIN	ANTONIOTTI	ISGC	S	ANTONIOTTI S
CHAHINEZ, AOUF	CHAHINEZ	AOUF	CHAHINEZ	AOUF	ISGC	C	AOUF C
CARLOS RODOLFO, APESTEGUÍA	CARLOS RODOLFO	APESTEGUÍA	CARLOS RODOLFO	APESTEGUIA	ISGC	CR	APESTEGUIA CR
CARLOS RODOLFO, APESTEGUIA	CARLOS RODOLFO	APESTEGUIA	CARLOS RODOLFO	APESTEGUIA	ISGC	CR	APESTEGUIA CR
GIOVANNI BATTISTA, APPETECCHI	GIOVANNI BATTISTA	APPETECCHI	GIOVANNI BATTISTA	APPETECCHI	ISGC	GB	APPETECCHI GB
CARMELA, APRILE	CARMELA	APRILE	CARMELA	APRILE	ISGC	C	APRILE C
JOSÉ, ARACIL	JOSÉ	ARACIL	JOSE	ARACIL	ISGC	J	ARACIL J
JOSE, ARACIL	JOSE	ARACIL	JOSE	ARACIL	ISGC	J	ARACIL J
